timestamp,flag,currentBack,motorTempBack,positionBack,refPositionBack,refVelocityBack,trackingDeviationBack,velocityBack,currentFront,motorTempFront,positionFront,refPositionFront,refVelocityFront,trackingDeviationFront,velocityFront
2018-01-31T09:28:00-06:00,1,49.0,33.0,571.499377114447,571.499996781376,0.0,0.000373731340680804,0.0,110.0,35.0,963.499284035813,963.499996781376,0.0,0.000539834158761161,0.0
2018-01-31T09:29:00-06:00,1,71.0,33.0,571.499294063038,571.499996781377,0.0,0.000456782749720982,0.0,91.0,35.0,963.499408612926,963.499996781377,0.0,0.000498308454241071,0.0
2018-01-31T09:32:00-06:00,1,55.0,33.0,571.499294063039,571.499996781378,0.0,0.000415257045200893,0.0,121.0,35.0,963.499284035814,963.499996781378,0.0,0.000539834158761161,0.0
2018-01-31T09:34:00-06:00,1,49.0,33.0,571.499335588744,571.499996781379,0.0,0.000415257045200893,0.0,102.0,35.0,963.499367087223,963.499996781379,0.0,0.000539834158761161,0.0
2018-01-31T09:36:00-06:00,1,74.0,33.0,571.499169485926,571.499997586042,0.0,0.000498308454241071,0.0,93.0,35.0,963.499367087223,963.499997586042,0.0,0.000498308454241071,0.0
2018-01-31T09:40:00-06:00,1,77.0,33.0,571.49929406304,571.499997586044,0.0,0.000498308454241071,0.0,102.0,35.0,963.499450138633,963.499997586044,0.0,0.000498308454241071,0.0
2018-01-31T09:41:00-06:00,1,41.0,33.0,571.499418640154,571.499997586044,0.0,0.000415257045200893,0.0,96.0,35.0,963.49932556152,963.499997586044,0.0,0.000539834158761161,0.0
2018-01-31T09:42:00-06:00,1,60.0,35.0,571.499418640154,571.499996781382,0.0,0.000415257045200893,0.0,127.0,35.0,963.499159458702,963.499996781382,0.0,0.00058135986328125,0.0
2018-01-31T09:46:00-06:00,1,52.0,35.0,571.499501691564,571.499997586047,0.0,0.000373731340680804,0.0,118.0,35.0,963.499325561521,963.499997586047,0.0,0.00058135986328125,0.0
2018-01-31T09:47:00-06:00,1,88.0,35.0,571.499211011633,571.499996781384,0.0,0.000539834158761161,0.0,82.0,35.0,963.49940861293,963.499996781384,0.0,0.000498308454241071,0.0
2018-01-31T09:49:00-06:00,1,80.0,35.0,571.499211011633,571.499996781385,0.0,0.000539834158761161,0.0,110.0,35.0,963.499325561521,963.499996781385,0.0,0.000539834158761161,0.0
2018-01-31T09:56:00-06:00,1,80.0,35.0,571.499211011635,571.499997586051,0.0,0.000539834158761161,0.0,110.0,37.0,963.499367087227,963.499997586051,0.0,0.000498308454241071,0.0
2018-01-31T09:57:00-06:00,1,58.0,35.0,571.499377114453,571.499996781389,0.0,0.000415257045200893,0.0,99.0,37.0,963.499284035818,963.499996781389,0.0,0.000539834158761161,0.0
